symbol,security_id,expiry,strike,exchange
011NSETEST-Nov2036-FUT,36687,,,NSE
021NSETEST-Nov2036-FUT,36690,,,NSE
031NSETEST-Nov2036-FUT,36691,,,NSE
041NSETEST-Nov2036-FUT,36694,,,NSE
051NSETEST-Nov2036-FUT,36697,,,NSE
061NSETEST-Nov2036-FUT,36700,,,NSE
071NSETEST-Nov2036-FUT,36702,,,NSE
081NSETEST-Nov2036-FUT,36709,,,NSE
091NSETEST-Nov2036-FUT,36713,,,NSE
101NSETEST-Nov2036-FUT,36715,,,NSE
111NSETEST-Nov2036-FUT,36716,,,NSE
121NSETEST-Nov2036-FUT,36718,,,NSE
131NSETEST-Nov2036-FUT,36720,,,NSE
141NSETEST-Nov2036-FUT,36721,,,NSE
151NSETEST-Nov2036-FUT,36724,,,NSE
161NSETEST-Nov2036-FUT,36725,,,NSE
171NSETEST-Nov2036-FUT,48576,,,NSE
181NSETEST-Nov2036-FUT,48577,,,NSE
BANKNIFTY-Jul2025-FUT,53213,,,NSE
FINNIFTY-Jul2025-FUT,53214,,,NSE
MIDCPNIFTY-Jul2025-FUT,53215,,,NSE
NIFTY-Jul2025-FUT,53216,,,NSE
NIFTYNXT50-Jul2025-FUT,53217,,,NSE
AARTIIND-Jul2025-FUT,53218,,,NSE
ABB-Jul2025-FUT,53219,,,NSE
ABCAPITAL-Jul2025-FUT,53220,,,NSE
ABFRL-Jul2025-FUT,53221,,,NSE
ACC-Jul2025-FUT,53222,,,NSE
ADANIENSOL-Jul2025-FUT,53223,,,NSE
ADANIENT-Jul2025-FUT,53224,,,NSE
ADANIGREEN-Jul2025-FUT,53225,,,NSE
ADANIPORTS-Jul2025-FUT,53226,,,NSE
ALKEM-Jul2025-FUT,53227,,,NSE
AMBUJACEM-Jul2025-FUT,53235,,,NSE
ANGELONE-Jul2025-FUT,53236,,,NSE
APLAPOLLO-Jul2025-FUT,53240,,,NSE
APOLLOHOSP-Jul2025-FUT,53241,,,NSE
ASHOKLEY-Jul2025-FUT,53244,,,NSE
ASIANPAINT-Jul2025-FUT,53245,,,NSE
ASTRAL-Jul2025-FUT,53246,,,NSE
ATGL-Jul2025-FUT,53247,,,NSE
AUBANK-Jul2025-FUT,53248,,,NSE
AUROPHARMA-Jul2025-FUT,53249,,,NSE
AXISBANK-Jul2025-FUT,53250,,,NSE
BAJAJ-AUTO-Jul2025-FUT,53251,,,NSE
BAJAJFINSV-Jul2025-FUT,53252,,,NSE
BAJFINANCE-Jul2025-FUT,53253,,,NSE
BALKRISIND-Jul2025-FUT,53254,,,NSE
BANDHANBNK-Jul2025-FUT,53255,,,NSE
BANKBARODA-Jul2025-FUT,53256,,,NSE
BANKINDIA-Jul2025-FUT,53257,,,NSE
BEL-Jul2025-FUT,53258,,,NSE
BHARATFORG-Jul2025-FUT,53259,,,NSE
BHARTIARTL-Jul2025-FUT,53260,,,NSE
BHEL-Jul2025-FUT,53261,,,NSE
BIOCON-Jul2025-FUT,53262,,,NSE
BOSCHLTD-Jul2025-FUT,53263,,,NSE
BPCL-Jul2025-FUT,53264,,,NSE
BRITANNIA-Jul2025-FUT,53265,,,NSE
BSE-Jul2025-FUT,53268,,,NSE
BSOFT-Jul2025-FUT,53269,,,NSE
CAMS-Jul2025-FUT,53270,,,NSE
CANBK-Jul2025-FUT,53273,,,NSE
CDSL-Jul2025-FUT,53274,,,NSE
CESC-Jul2025-FUT,53275,,,NSE
CGPOWER-Jul2025-FUT,53276,,,NSE
CHAMBLFERT-Jul2025-FUT,53277,,,NSE
CHOLAFIN-Jul2025-FUT,53278,,,NSE
CIPLA-Jul2025-FUT,53279,,,NSE
COALINDIA-Jul2025-FUT,53280,,,NSE
COFORGE-Jul2025-FUT,53281,,,NSE
COLPAL-Jul2025-FUT,53284,,,NSE
CONCOR-Jul2025-FUT,53289,,,NSE
CROMPTON-Jul2025-FUT,53290,,,NSE
CUMMINSIND-Jul2025-FUT,53291,,,NSE
CYIENT-Jul2025-FUT,53292,,,NSE
DABUR-Jul2025-FUT,53293,,,NSE
DALBHARAT-Jul2025-FUT,53294,,,NSE
DELHIVERY-Jul2025-FUT,53295,,,NSE
DIVISLAB-Jul2025-FUT,53296,,,NSE
DIXON-Jul2025-FUT,53297,,,NSE
DLF-Jul2025-FUT,53298,,,NSE
DMART-Jul2025-FUT,53299,,,NSE
DRREDDY-Jul2025-FUT,53300,,,NSE
EICHERMOT-Jul2025-FUT,53301,,,NSE
ETERNAL-Jul2025-FUT,53302,,,NSE
EXIDEIND-Jul2025-FUT,53303,,,NSE
FEDERALBNK-Jul2025-FUT,53304,,,NSE
GAIL-Jul2025-FUT,53305,,,NSE
GLENMARK-Jul2025-FUT,53306,,,NSE
GMRAIRPORT-Jul2025-FUT,53307,,,NSE
GODREJCP-Jul2025-FUT,53308,,,NSE
GODREJPROP-Jul2025-FUT,53309,,,NSE
GRANULES-Jul2025-FUT,53310,,,NSE
GRASIM-Jul2025-FUT,53311,,,NSE
HAL-Jul2025-FUT,53312,,,NSE
HAVELLS-Jul2025-FUT,53313,,,NSE
HCLTECH-Jul2025-FUT,53314,,,NSE
HDFCAMC-Jul2025-FUT,53315,,,NSE
HDFCBANK-Jul2025-FUT,53316,,,NSE
HDFCLIFE-Jul2025-FUT,53317,,,NSE
HEROMOTOCO-Jul2025-FUT,53318,,,NSE
HFCL-Jul2025-FUT,53319,,,NSE
HINDALCO-Jul2025-FUT,53321,,,NSE
HINDCOPPER-Jul2025-FUT,53322,,,NSE
HINDPETRO-Jul2025-FUT,53323,,,NSE
HINDUNILVR-Jul2025-FUT,53324,,,NSE
HINDZINC-Jul2025-FUT,53325,,,NSE
HUDCO-Jul2025-FUT,53326,,,NSE
ICICIBANK-Jul2025-FUT,53327,,,NSE
ICICIGI-Jul2025-FUT,53328,,,NSE
ICICIPRULI-Jul2025-FUT,53329,,,NSE
IDEA-Jul2025-FUT,53330,,,NSE
IDFCFIRSTB-Jul2025-FUT,53334,,,NSE
IEX-Jul2025-FUT,53335,,,NSE
IGL-Jul2025-FUT,53336,,,NSE
IIFL-Jul2025-FUT,53337,,,NSE
INDHOTEL-Jul2025-FUT,53338,,,NSE
INDIANB-Jul2025-FUT,53339,,,NSE
INDIGO-Jul2025-FUT,53340,,,NSE
INDUSINDBK-Jul2025-FUT,53341,,,NSE
INDUSTOWER-Jul2025-FUT,53342,,,NSE
INFY-Jul2025-FUT,53343,,,NSE
INOXWIND-Jul2025-FUT,53344,,,NSE
IOC-Jul2025-FUT,53345,,,NSE
IRB-Jul2025-FUT,53346,,,NSE
IRCTC-Jul2025-FUT,53347,,,NSE
IREDA-Jul2025-FUT,53348,,,NSE
IRFC-Jul2025-FUT,53351,,,NSE
ITC-Jul2025-FUT,53352,,,NSE
JINDALSTEL-Jul2025-FUT,53353,,,NSE
JIOFIN-Jul2025-FUT,53354,,,NSE
JSL-Jul2025-FUT,53355,,,NSE
JSWENERGY-Jul2025-FUT,53358,,,NSE
JSWSTEEL-Jul2025-FUT,53359,,,NSE
JUBLFOOD-Jul2025-FUT,53366,,,NSE
KALYANKJIL-Jul2025-FUT,53367,,,NSE
KEI-Jul2025-FUT,53368,,,NSE
KOTAKBANK-Jul2025-FUT,53369,,,NSE
KPITTECH-Jul2025-FUT,53370,,,NSE
LAURUSLABS-Jul2025-FUT,53371,,,NSE
LICHSGFIN-Jul2025-FUT,53372,,,NSE
LICI-Jul2025-FUT,53373,,,NSE
LODHA-Jul2025-FUT,53374,,,NSE
LT-Jul2025-FUT,53375,,,NSE
LTF-Jul2025-FUT,53376,,,NSE
LTIM-Jul2025-FUT,53377,,,NSE
LUPIN-Jul2025-FUT,53378,,,NSE
M&M-Jul2025-FUT,53379,,,NSE
M&MFIN-Jul2025-FUT,53380,,,NSE
MANAPPURAM-Jul2025-FUT,53381,,,NSE
MARICO-Jul2025-FUT,53382,,,NSE
MARUTI-Jul2025-FUT,53383,,,NSE
MAXHEALTH-Jul2025-FUT,53384,,,NSE
MCX-Jul2025-FUT,53385,,,NSE
MFSL-Jul2025-FUT,53386,,,NSE
MGL-Jul2025-FUT,53387,,,NSE
MOTHERSON-Jul2025-FUT,53388,,,NSE
MPHASIS-Jul2025-FUT,53389,,,NSE
MUTHOOTFIN-Jul2025-FUT,53390,,,NSE
NATIONALUM-Jul2025-FUT,53391,,,NSE
NAUKRI-Jul2025-FUT,53392,,,NSE
NBCC-Jul2025-FUT,53393,,,NSE
